开发者,仓库地址,教务系统类型,学校
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/石河子大学,强智,石河子大学
吉吉,https://github.com/mmdjiji/xiaomi-aischedule-cnu,自研,首都师范大学
吉吉,https://gitee.com/mmdjiji/xiaomi-aischedule-cnu,自研,首都师范大学
lwk,https://github.com/Sed66666/schedule,自研,四川大学
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/四川工程职业技术学院,强智,四川工程职业技术学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/四川工程职业技术学院,强智,四川工程职业技术学院
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/正方教务/丽江文化旅游学院,正方,丽江文化旅游学院
铃音yuy,https://github.com/imshixin/AiSchedule,为途,四川工商学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/正方教务/丽江文化旅游学院,正方,丽江文化旅游学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/金窗教务/四川科技职业学院,金窗,四川科技职业学院
铃音yuy,https://github.com/imshixin/AiSchedule,金窗,四川科技职业学院
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/金窗教务/四川科技职业学院,金窗,四川科技职业学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/金窗教务/四川科技职业学院,金窗,四川科技职业学院
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/正方教务/濮阳医学高等专科学校,正方,濮阳医学高等专科学校
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/正方教务/濮阳医学高等专科学校,正方,濮阳医学高等专科学校
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/四川中医药高等专科学,强智,四川中医药高等专科学
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/四川中医药高等专科学,强智,四川中医药高等专科学
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/正方教务/青岛科技大学,正方,青岛科技大学
Sittymin,https://github.com/Sittymin/tzvcst-schedule-chaoxing,超星,台州科技职业学院
Moeshin,https://github.com/moeshin/ai-schedule-chaoxing,超星,台州职业技术学院
Moeshin,https://gitee.com/moeshin/ai-schedule-chaoxing,超星,台州职业技术学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/正方教务/青岛科技大学,正方,青岛科技大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/自研教务/泰州职业技术学院,自研,泰州职业技术学院
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/正方教务/三江学院,正方,三江学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/正方教务/三江学院,正方,三江学院
Zhaosn,https://github.com/horizon86/MI-AICourseTable,树维,天津大学
杰☆少,https://github.com/1250422131/tjdz-aischedule-adapter,超星,天津电子信息职业技术学院
AirboZH,https://github.com/AirboZH/Ai_Schedule,自研,天津理工大学
bzp2010,https://github.com/bzp2010/xiaoai-schedule-parser-tjcu,URP新版,天津商业大学
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/正方教务/陕西能源职业技术学院,正方,陕西能源职业技术学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/正方教务/陕西能源职业技术学院,正方,陕西能源职业技术学院
sz134055,https://github.com/sz134055/wuhuAiSchedule,金智,芜湖学院（原安徽师范大学皖江学院）
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/正方教务/浙江农业商贸职业学院,正方,浙江农业商贸职业学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/强智教务/iframe强智/武汉工程科技学院,强智iframe,武汉工程科技学院
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/武汉工程科技学院,强智,武汉工程科技学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/武汉工程科技学院,强智,武汉工程科技学院
wen2so,https://github.com/wen2so/xiaoaiSchedule/blob/master/scheduleHtmlParser.js,,武汉工程科技学院（原中国地质大学江城学院）
铃音yuy,https://github.com/imshixin/AiSchedule,树维,武汉工商学院
Moeshin,https://github.com/moeshin/ai-schedule-chaoxing,超星,武汉交通职业学院
Moeshin,https://gitee.com/moeshin/ai-schedule-chaoxing,超星,武汉交通职业学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/AIC智能校园/武汉警官职业学院,AIC,武汉警官职业学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/强智教务/iframe强智/武汉信息传播职业技术学院,强智iframe,武汉信息传播职业技术学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/强智教务/手机端/武汉信息传播职业技术学院,强智手机端,武汉信息传播职业技术学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/树维/武汉职业技术学院,树维,武汉职业技术学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/自研教务/武汉职业技术学院,自研,武汉职业技术学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/正方教务/浙江农业商贸职业学院,正方,浙江农业商贸职业学院
SuperBart,https://github.com/BenderBlog/SaltXD-AiSchedule-Edition,自研,西安电子科技大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/青果教务/西安翻译学院,青果,西安翻译学院
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/西安工商学院,强智,西安工商学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/西安工商学院,强智,西安工商学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/树维/西安航空学院,树维,西安航空学院
Invalided,https://github.com/Invalided/XAAU_Schedule,树维,西安航空学院
Invalided,https://gitee.com/uniqewy/XAAU_Schedule,树维,西安航空学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/自研教务/西安建筑科技大学,自研,西安建筑科技大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/eurasia/西安欧亚学院,自研,西安欧亚学院
o0kam1,https://github.com/duzhaokun123/XSYU_AI_schedule,树维,西安石油大学
上帝,https://github.com/zhanghaoran124/NWPU_AISchedule,翱翔,西北工业大学
junity233,https://github.com/junity233/SWU-Timetabe-Xiaoai-Import,,西南大学
铃音yuy,https://github.com/imshixin/AiSchedule,自研,西南科技大学
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/湘中幼儿师范高等专科,强智,湘中幼儿师范高等专科
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/湘中幼儿师范高等专科,强智,湘中幼儿师范高等专科
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/青果教务/新疆大学,青果,新疆大学
辣条协会会长,https://github.com/ltxhhz/AISchedule-xjsf,强智,新疆师范大学
辣条协会会长,https://gitee.com/ltxhhz/aischedule-xjsf,强智,新疆师范大学
铃音yuy,https://github.com/imshixin/AiSchedule,金窗,雅安职业技术学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/URP教务/烟台大学,URP,烟台大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/青果教务/烟台南山学院,青果,烟台南山学院
铃音yuy,https://github.com/imshixin/AiSchedule,强智,延边大学
写bug的小王,https://github.com/trueWangSyutung/XiaoAiSchedule,新正方,北京信息科技大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/金智教务/燕山大学,金智,燕山大学
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/玉溪农业职业技术学院,强智,玉溪农业职业技术学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/玉溪农业职业技术学院,强智,玉溪农业职业技术学院
axelPLN,https://github.com/axelpln/AISchedule_Of_YNUFE,强智,云南财经大学
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/云南财经大学,强智,云南财经大学
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/云南财经大学,强智,云南财经大学
等风来,https://github.com/Plout-hu/YNU_AISchedule,自研,云南大学
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/云南经济管理学院,强智,云南经济管理学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/云南经济管理学院,强智,云南经济管理学院
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/云南农业大学,强智,云南农业大学
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/云南农业大学,强智,云南农业大学
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/云南师范大学,强智,云南师范大学
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/云南师范大学,强智,云南师范大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/青果教务/湛江科技学院,青果,湛江科技学院
亦宸,https://github.com/Sean205429/Sit_AISchedule,新正方,上海应用技术大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/强智教务/iframe强智/长春大学,强智iframe,长春大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/金智教务/长春汽车工业高等专科学校,金智,长春汽车工业高等专科学校
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/教务管理系统V6.0/长春师范大学,自研,长春师范大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/树维/长江大学,树维,长江大学
雨雪霏霏,https://github.com/Chanmingfei/AIschedule--zhengfang--TSNUandCDUTETC/tree/main/成都理工大学工程技术学院,正方,成都理工大学工程技术学院
雨雪霏霏,https://github.com/Chanmingfei/AIschedule--zhengfang--TSNUandCDUTETC/tree/main/唐山师范学院,正方,唐山师范学院
竹林里有冰,https://github.com/zhullyb/ZJUT-Mi-Schedule-Adapter/,正方,浙江工业大学
泪水打湿麦当劳你却不懂我的好 cheniyy666,https://github.com/y2732114608/cheniyy-timetable,自研,浙江商业职业技术学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/树维/郑州大学,树维,郑州大学
xwwwb,https://github.com/xwwwb/zzuli_course_xiaoai,自研,郑州轻工业大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/青果教务/郑州升达经贸管理学院,青果,郑州升达经贸管理学院
铃音yuy,https://github.com/imshixin/AiSchedule,青果,郑州铁路职业技术学院_班级课表
铃音yuy,https://github.com/imshixin/AiSchedule,青果,郑州铁路职业技术学院_个人课表
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/树维/郑州西亚斯,树维,郑州西亚斯学院
严嘉哲,https://github.com/larryyan/supwisdom-CUP-AISchedule,树维,中国石油大学(北京)
xy3666,https://github.com/xy3xy3/SYSU-Schedule-Import-to-XiaoAi-Schedule,自研,中山大学
逝水经年,https://github.com/entireyu/AISchedule,自研,中山大学南方学院
逝水经年,https://gitee.com/jniantic/AISchedule,自研,中山大学南方学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/树维/中原科技学院,树维,中原科技学院
miraged3,https://github.com/miraged3/Xiaomi-Xiaoai-AI-Schedule-Auto-Import-Script,,
夜宵,https://github.com/yexiao6819/Xiao-Ai-Course-Schedule,起迪,广西水利电力职业技术学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/特版强智%20抓取JSON/广西科技师范学院/,强智,广西科技师范学院
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/特版强智%20抓取JSON/广西科技师范学院/,强智,广西科技师范学院
不想单身 Bxz,https://github.com/java-walker/GPNU_XiaoAiSchedule,正方,广东技术师范大学
