开发者,仓库地址,教务系统类型,学校
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/广东交通职业技术学院,强智,广东交通职业技术学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/广东交通职业技术学院,强智,广东交通职业技术学院
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/广东南华工商职业学院,强智,广东南华工商职业学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/广东南华工商职业学院,强智,广东南华工商职业学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/强智教务/iframe强智/广东农工商,强智iframe,广东农工商
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/广东轻工职业技术学院,强智,广东轻工职业技术学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/广东轻工职业技术学院,强智,广东轻工职业技术学院
铃音yuy,https://github.com/imshixin/AiSchedule,正方,-
铃音yuy,https://github.com/imshixin/AiSchedule,正方,北京社会管理职业学院
SpiritualMedicine,https://github.com/SpiritualMedicine/Xiaoai_GXU_YJSGLXT,,广西大学
铃音yuy,https://github.com/imshixin/AiSchedule,正方,成都银杏酒店管理学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/树维/广州工商学院,树维,广州工商学院
CarlJaTo,https://gitee.com/carljato/gzhl,强智,广州华立学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/强智教务/iframe强智/广州华商学院,强智iframe,广州华商学院
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/乘方教务/广州理工学院,乘方,广州理工学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/乘方教务/广州理工学院,乘方,广州理工学院
铃音yuy,https://github.com/imshixin/AiSchedule,正方,贵州中医药大学时珍学院
铃音yuy,https://github.com/imshixin/AiSchedule,正方,四川水利职业技术学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/乘方教务/广州中医药大学,乘方,广州中医药大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/自研教务/贵州工程应用技术学院,自研,贵州工程应用技术学院
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/贵州商学院,强智,贵州商学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/贵州商学院,强智,贵州商学院
铃音yuy,https://github.com/imshixin/AiSchedule,正方,苏州卫生职业技术学院
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/贵州水利水电职业技术学院,强智,贵州水利水电职业技术学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/贵州水利水电职业技术学院,强智,贵州水利水电职业技术学院
铃音yuy,https://github.com/imshixin/AiSchedule,正方,天津滨海职业学院
zmymrp,https://github.com/zmymrp/AIShedule_GUAT,青果,桂林航天工业学院
zmymrp,https://gitee.com/drmcc/AIShedule_GUAT,青果,桂林航天工业学院
铃音yuy,https://github.com/imshixin/AiSchedule,正方,文山学院
梦里称王,https://gitee.com/litedream/aischedule,正方,南京工程学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/自研教务/哈尔滨工业大学,自研,哈尔滨工业大学
青益,https://github.com/qine233/schedule-zhengfang-sctbc-xiaoai,正方,四川工商职业技术学院
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/海南大学,强智,海南大学
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/海南大学,强智,海南大学
铃音yuy,https://github.com/imshixin/AiSchedule,青果,海南医学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/正方教务/新正方教务/安徽建筑大学,新正方,安徽建筑大学
ChinaNuke,https://github.com/ChinaNuke/AiSchedule-for-hfut,,合肥工业大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/正方教务/新正方教务/包头职业技术学院,新正方,包头职业技术学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/正方教务/正方教务/成都艺术职业大学,正方,成都艺术职业大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/正方教务/新正方教务/东华理工大学,新正方,东华理工大学
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/河北东方学院,强智,河北东方学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/河北东方学院,强智,河北东方学院
慧慧的宝贝,https://github.com/baifan97/XiaoAISchedule-URP-HEBEU,URP,河北工程大学
Rustry,https://github.com/LUG-HUES/xiaoi-course-schedule-adapter,自研,河北工程技术学院_主校区
杰瑞雾里,https://github.com/jeremisty99/AISchedule-HEBUT,URP,河北工业大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/正方教务/新正方教务/广西外国语学院,新正方,广西外国语学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/正方教务/正方教务/广州商学院,正方,广州商学院
CN_千石,https://github.com/okatu-loli/HBFU-AISchedule,强智,河北金融学院
魏传祥,https://github.com/web1n/XiaoAISchedule_hebust,新青果,河北科技大学
王费心机,https://gitee.com/wang-feis-scheming/no.1,青果,河北科技工程职业技术大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/URP教务/河北农业大学,URP,河北农业大学
陈皮,https://github.com/Cxumhe/aischedule-hebau,金智,河北农业大学
yuchen,https://github.com/yuchenii/AIschedule-HHU-URP,URP,河海大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/正方教务/新正方教务/贵州师范大学,新正方,贵州师范大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/正方教务/新正方教务/哈尔滨华德学院,新正方,哈尔滨华德学院
chenbaifu,https://gitee.com/chenbaifu/xiaoai,青果,河南科技学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/树维/河南理工大学,树维,河南理工大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/青果教务/河南农业大学,青果,河南农业大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/自研教务/河南中医药大学,自研,河南中医药大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/青果教务/河西学院,青果,河西学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/正方教务/新正方教务/河北传媒学院,新正方,河北传媒学院
Hollis,https://github.com/bianyukun1213/aischedule-for-usth,URP,黑龙江科技大学
Hollis,https://gitee.com/bianyukun1213/aischedule-for-usth,URP,黑龙江科技大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/强智教务/iframe强智/衡阳师范学院,强智iframe,衡阳师范学院
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/衡阳师范学院,强智,衡阳师范学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/衡阳师范学院,强智,衡阳师范学院
